Day;Month;Year;Plot;Subplot;BEMA;CETE;CHFU;CHMI;RAPE;LEMA;SAOS;SOAS;SCLA;SPRU;MEPO;MESU;PUPA;FRPU;PLCO;ANAR;Geranium;ACHI;Observer;Obs
13;2;2020;8;D2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;D1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E3;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E3;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E4;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;E6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;F6;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;F5;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;F4;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;F3;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;F2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;8;F1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;A1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;A2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;A4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;B3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;B1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;C1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;C2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;C3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;C4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;C5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;D3;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;D3;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;D3;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;D2;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;D1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E1;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E2;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E2;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E2;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E3;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E3;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E4;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;E5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;F6;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;F6;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
13;2;2020;9;F5;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Nacho;
