Year;Plot;Subplot;Plant;Seeds_GF;Fruit_GF;visits_GF;ID;homo_motif;hete_motif;Strength;StrengthIn;StrengthOut;Degree;DegreeIn;DegreeOut;PageRank;Hub;Authority;Katz;Multiplexity;Kcore
2020;1;F5;LEMA;245;5;1;Small bee 1_8_6;1;2;132.700.077.700.078;0.327000777000777;1;6;3;3;0.0623516455627788;0.298586348245213;5,04E+06;0.00219175183741122;0.25;4
2020;1;F5;PUPA;517.5;22.5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F6;BEMA;924;231;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F6;CETE;666;6;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;1;F6;LEMA;372;6;2;Brassicogethes_sp.;30;0;297.672.882.672.883;197.672.882.672.883;1;10;5;5;0.11260388684927;0.248613496266164;4,59E+08;0.0208060122902224;0.25;6
2020;1;F6;LEMA;372;6;1;Elateridae;3;0;297.672.882.672.883;197.672.882.672.883;1;10;5;5;0.11260388684927;0.248613496266164;4,59E+08;0.0208060122902224;0.25;6
2020;1;F6;LEMA;372;6;1;Psilothrix_viridicoerulea;26;0;297.672.882.672.883;197.672.882.672.883;1;10;5;5;0.11260388684927;0.248613496266164;4,59E+08;0.0208060122902224;0.25;6
2020;1;F6;LEMA;372;6;5;Small bee 1_8_6;1;5;297.672.882.672.883;197.672.882.672.883;1;10;5;5;0.11260388684927;0.248613496266164;4,59E+08;0.0208060122902224;0.25;6
2020;1;F6;PUPA;287.5;12.5;3;Small bee 1_8_6;2;4;216.666.666.666.667;116.666.666.666.667;1;4;2;2;0.0537410579944748;1,29E+10;3,03E+10;0.193603773761342;0.25;2
2020;1;F6;SCLA;155;5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A1;BEMA;216;54;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A1;CETE;222;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A1;LEMA;756;6;4;Brassicogethes_sp.;33;0;102.614.379.084.967;0.0261437908496732;1;2;1;1;0.0691129056521196;1;1,02E+06;0.00136134732082454;0.2;2
2020;2;A1;PUPA;828;36;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A1;SCLA;77.5;2.5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A2;BEMA;64;16;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A2;CETE;1887;17;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A2;LEMA;462;6;1;Bombyliidae;3;3;21.301.247.771.836;11.301.247.771.836;1;6;3;3;0.0987727336690554;0.756401093995592;1,31E+09;0.0137240943518243;0.2;4
2020;2;A2;LEMA;462;6;6;Brassicogethes_sp.;38;0;21.301.247.771.836;11.301.247.771.836;1;6;3;3;0.0987727336690554;0.756401093995592;1,31E+09;0.0137240943518243;0.2;4
2020;2;A2;LEMA;462;6;1;Red_black_fly_6.19.5;0;0;21.301.247.771.836;11.301.247.771.836;1;6;3;3;0.0987727336690554;0.756401093995592;1,31E+09;0.0137240943518243;0.2;4
2020;2;A2;PUPA;611;13;1;Small bee 1_8_6;2;1;1.2;0.2;1;2;1;1;0.0575633551853273;9,96E+08;4,04E+08;1,98E+10;0.2;2
2020;2;A2;SCLA;124;4;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A3;BEMA;80;20;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A3;CETE;3990;21;1;Bombilus_major;1;1;1.2;0.2;1;2;1;1;0.0614259732499627;1,74E+09;6,41E+06;1,15E+10;0.2;2
2020;2;A3;CHFU;6.5;6.5;1;Ulidiidae;4;0;105.882.352.941.176;0.0588235294117647;1;2;1;1;0.0640825959800786;0;0;1,57E+09;0.2;2
2020;2;A3;LEMA;744;12;4;Brassicogethes_sp.;38;0;15.517.848.164.907;0.551784816490699;1;6;3;3;0.0901374310460109;0.702591587506755;1,93E+06;0.00105676385164827;0.2;4
2020;2;A3;LEMA;744;12;1;Cylindromyia_sp.;0;0;15.517.848.164.907;0.551784816490699;1;6;3;3;0.0901374310460109;0.702591587506755;1,93E+06;0.00105676385164827;0.2;4
2020;2;A3;LEMA;744;12;1;Psilothrix_viridicoerulea;19;0;15.517.848.164.907;0.551784816490699;1;6;3;3;0.0901374310460109;0.702591587506755;1,93E+06;0.00105676385164827;0.2;4
2020;2;A3;PUPA;92;4;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A4;BEMA;172;43;1;Cylindromyia_sp.;0;1;2;1;1;2;1;1;0.0620955571370004;1,05E+03;0.00157903455680968;2,48E+09;0.2;2
2020;2;A4;CETE;1221;11;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A4;CHFU;96;3;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A4;LEMA;329;7;3;Brassicogethes_sp.;33;0;101.960.784.313.725;0.0196078431372549;1;2;1;1;0.0637695251347085;1;7,64E+04;0.00136134732082454;0.2;2
2020;2;A4;PUPA;126.5;5.5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A5;BEMA;68;17;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A5;CETE;1488;8;2;Bombilus_major;0;2;1.4;0.4;1;2;1;1;0.0751125629174503;1,74E+09;1,28E+06;1,15E+10;0.2;2
2020;2;A5;CHFU;32;1;1;Ulidiidae;5;0;105.882.352.941.176;0.0588235294117647;1;2;1;1;0.0640825959800786;0;0;1,57E+09;0.2;2
2020;2;A5;LEMA;195;3;2;Brassicogethes_sp.;33;0;151.307.189.542.484;0.513071895424837;1;4;2;2;0.0740777944018616;0.674429674892257;5,49E+04;0.00101531736856724;0.2;4
2020;2;A5;LEMA;195;3;1;Cylindromyia_sp.;0;1;151.307.189.542.484;0.513071895424837;1;4;2;2;0.0740777944018616;0.674429674892257;5,49E+04;0.00101531736856724;0.2;4
2020;2;A5;PUPA;156;6.5;2;Small bee 1_8_6;2;1;1.4;0.4;1;2;1;1;0.0673873267881794;9,96E+08;8,08E+08;1,98E+10;0.2;2
2020;2;A6;BEMA;56;14;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A6;CETE;999;9;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;A6;PUPA;312;12;2;Bombilus_major;1;1;1.5;0.5;1;2;1;1;0.078159402747997;4,96E+08;6,48E+08;1,45E+10;0.2;2
2020;2;A6;SCLA;62;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B1;BEMA;456;114;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B1;CETE;444;4;1;Bombyliidae;1;5;133.333.333.333.333;0.333333333333333;1;2;1;1;0.0587117139080888;0.0029174924028798;8,01E+10;0.218554813492378;0.2;2
2020;2;B1;CHFU;352;11;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B1;LEMA;812;14;1;Bombyliidae;3;3;11.301.247.771.836;0.130124777183601;1;4;2;2;0.0851857964143813;0.863600735691281;1,22E+09;0.0151224027430488;0.2;4
2020;2;B1;LEMA;812;14;6;Brassicogethes_sp.;33;0;11.301.247.771.836;0.130124777183601;1;4;2;2;0.0851857964143813;0.863600735691281;1,22E+09;0.0151224027430488;0.2;4
2020;2;B1;PUPA;594;11;2;Bombyliidae;0;6;2;1;1;2;1;1;0.0782590362699409;0.00262085130655852;0.00249654901553184;0.218554813492378;0.2;2
2020;2;B1;SCLA;31;1;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B2;BEMA;136;34;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B2;CETE;1776;16;1;Bombilus_major;1;1;1.2;0.2;1;2;1;1;0.0614259732499627;1,74E+09;6,41E+08;1,15E+10;0.2;2
2020;2;B2;CHFU;64;2;2;Ulidiidae;5;0;111.764.705.882.353;0.117647058823529;1;2;1;1;0.0804258083776822;0;0;1,57E+09;0.2;2
2020;2;B2;LEMA;432;8;5;Bombyliidae;3;3;152.593.811.417.341;0.525938114173408;1;6;3;3;0.117446571450877;0.5706374038122;6,12E+09;0.0383496187684833;0.2;4
2020;2;B2;LEMA;432;8;7;Brassicogethes_sp.;53;0;152.593.811.417.341;0.525938114173408;1;6;3;3;0.117446571450877;0.5706374038122;6,12E+09;0.0383496187684833;0.2;4
2020;2;B2;LEMA;432;8;1;Psilothrix_viridicoerulea;19;0;152.593.811.417.341;0.525938114173408;1;6;3;3;0.117446571450877;0.5706374038122;6,12E+09;0.0383496187684833;0.2;4
2020;2;B2;SCLA;62;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B3;BEMA;192;48;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B3;CETE;555;5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B3;CHFU;126;6;1;Ulidiidae;5;0;105.882.352.941.176;0.0588235294117647;1;2;1;1;0.0640825959800786;0;0;1,57E+09;0.2;2
2020;2;B3;LEMA;438;6;8;Brassicogethes_sp.;48;0;18.535.696.329.814;0.853569632981398;1;8;4;4;0.122696118907835;0.649687075953764;6,43E+07;0.00154621324706504;0.2;6
2020;2;B3;LEMA;438;6;1;Elateridae;1;0;18.535.696.329.814;0.853569632981398;1;8;4;4;0.122696118907835;0.649687075953764;6,43E+07;0.00154621324706504;0.2;6
2020;2;B3;LEMA;438;6;2;Musca_sp.;7;0;18.535.696.329.814;0.853569632981398;1;8;4;4;0.122696118907835;0.649687075953764;6,43E+07;0.00154621324706504;0.2;6
2020;2;B3;LEMA;438;6;2;Psilothrix_viridicoerulea;19;0;18.535.696.329.814;0.853569632981398;1;8;4;4;0.122696118907835;0.649687075953764;6,43E+07;0.00154621324706504;0.2;6
2020;2;B3;PUPA;115;5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B3;SCLA;93;3;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B4;BEMA;68;17;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B4;CETE;777;7;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B4;LEMA;906;18;11;Brassicogethes_sp.;33;0;150.779.286.073.404;0.507792860734037;1;6;3;3;0.136120652269975;0.737076057128595;6,36E+06;0.00109957024184777;0.2;4
2020;2;B4;LEMA;906;18;1;Mordellidae;1;0;150.779.286.073.404;0.507792860734037;1;6;3;3;0.136120652269975;0.737076057128595;6,36E+06;0.00109957024184777;0.2;4
2020;2;B4;LEMA;906;18;4;Psilothrix_viridicoerulea;19;0;150.779.286.073.404;0.507792860734037;1;6;3;3;0.136120652269975;0.737076057128595;6,36E+06;0.00109957024184777;0.2;4
2020;2;B4;PUPA;115;5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B4;SCLA;31;1;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B5;BEMA;72;18;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B5;CETE;666;6;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B5;LEMA;189;3;8;Brassicogethes_sp.;33;0;165.485.168.426.345;0.654851684263449;1;8;4;4;0.132248996867852;0.58882582679569;5,88E+05;9,33E+10;0.2;6
2020;2;B5;LEMA;189;3;2;Musca_sp.;7;0;165.485.168.426.345;0.654851684263449;1;8;4;4;0.132248996867852;0.58882582679569;5,88E+05;9,33E+10;0.2;6
2020;2;B5;LEMA;189;3;1;Oedemeridae;1;0;165.485.168.426.345;0.654851684263449;1;8;4;4;0.132248996867852;0.58882582679569;5,88E+05;9,33E+10;0.2;6
2020;2;B5;LEMA;189;3;4;Psilothrix_viridicoerulea;19;0;165.485.168.426.345;0.654851684263449;1;8;4;4;0.132248996867852;0.58882582679569;5,88E+05;9,33E+10;0.2;6
2020;2;B5;PUPA;103.5;4.5;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B6;BEMA;48;12;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B6;CETE;7326;66;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;B6;LEMA;760;10;5;Brassicogethes_sp.;33;0;18.360.985.419.809;0.836098541980895;1;8;4;4;0.112902216107028;0.480302945994615;2,25E+06;7,71E+10;0.2;6
2020;2;B6;LEMA;760;10;4;Musca_jar_H;1;0;18.360.985.419.809;0.836098541980895;1;8;4;4;0.112902216107028;0.480302945994615;2,25E+06;7,71E+10;0.2;6
2020;2;B6;LEMA;760;10;1;Musca_sp.;7;0;18.360.985.419.809;0.836098541980895;1;8;4;4;0.112902216107028;0.480302945994615;2,25E+06;7,71E+10;0.2;6
2020;2;B6;LEMA;760;10;1;Psilothrix_viridicoerulea;19;0;18.360.985.419.809;0.836098541980895;1;8;4;4;0.112902216107028;0.480302945994615;2,25E+06;7,71E+10;0.2;6
2020;2;B6;SCLA;62;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C1;BEMA;28;7;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C1;CETE;3885;35;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C1;CHFU;64;2;3;Ulidiidae;9;0;117.647.058.823.529;0.176470588235294;1;2;1;1;0.0967690207752857;0;0;1,57E+09;0.2;2
2020;2;C1;LEMA;406;7;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C1;PUPA;138;6;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C1;SCLA;62;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C2;BEMA;352;88;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C2;CETE;2997;27;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C2;CHFU;64;2;2;Ulidiidae;9;0;111.764.705.882.353;0.117647058823529;1;2;1;1;0.0804258083776822;0;0;1,57E+09;0.2;2
2020;2;C2;LEMA;1520;19;3;Brassicogethes_sp.;48;0;204.524.886.877.828;104.524.886.877.828;1;6;3;3;0.0838567191244002;0.64007780792275;1,75E+06;9,90E+10;0.2;4
2020;2;C2;LEMA;1520;19;1;Psilothrix_viridicoerulea;19;0;204.524.886.877.828;104.524.886.877.828;1;6;3;3;0.0838567191244002;0.64007780792275;1,75E+06;9,90E+10;0.2;4
2020;2;C2;LEMA;1520;19;1;Small bee 1_8_6;0;0;204.524.886.877.828;104.524.886.877.828;1;6;3;3;0.0838567191244002;0.64007780792275;1,75E+06;9,90E+10;0.2;4
2020;2;C2;PUPA;9;9;2;Big_bee_2_8_7;0;0;2;1;1;2;1;1;0.101844018309279;0;0;1,57E+09;0.2;2
2020;2;C2;SCLA;62;2;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C3;BEMA;248;62;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C3;CETE;3774;34;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C3;CHFU;96;3;0;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;2;C3;LEMA;422;4;3;Brassicogethes_sp.;48;0;140.422.322.775.264;0.404223227752639;1;6;3;3;0.0926798482085489;0.434187866370202;2,57E+06;7,40E+10;0.2;6
2020;2;C3;LEMA;422;4;3;Musca_sp.;7;0;140.422.322.775.264;0.404223227752639;1;6;3;3;0.0926798482085489;0.434187866370202;2,57E+06;7,40E+10;0.2;6
