"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"HOMA";"Butterflies";2;"F2";0;0
"LEMA";"Butterflies";2;"F2";0;0
"ME";"Butterflies";2;"F2";0;0
"PUPA";"Butterflies";2;"F2";0;0
"RAPE";"Butterflies";2;"F2";0;0
"CHFU";"Bees";4;"F2";0;0
"CHMI";"Bees";4;"F2";0;0
"HOMA";"Bees";4;"F2";0;0
"LEMA";"Bees";4;"F2";0;0
"ME";"Bees";4;"F2";0;0
"PUPA";"Bees";4;"F2";0;0
"RAPE";"Bees";4;"F2";0;0
"CHFU";"Beetles";4;"F2";0;0
"CHMI";"Beetles";4;"F2";0;0
"HOMA";"Beetles";4;"F2";0;0
"LEMA";"Beetles";4;"F2";1;8
"ME";"Beetles";4;"F2";0;0
"PUPA";"Beetles";4;"F2";0;0
"RAPE";"Beetles";4;"F2";0;0
"CHFU";"Flies";4;"F2";0;0
"CHMI";"Flies";4;"F2";0;0
"HOMA";"Flies";4;"F2";0;0
"LEMA";"Flies";4;"F2";0;3
"ME";"Flies";4;"F2";0;0
"PUPA";"Flies";4;"F2";0;0
"RAPE";"Flies";4;"F2";0;0
"CHFU";"Butterflies";4;"F2";0;0
"CHMI";"Butterflies";4;"F2";0;0
"HOMA";"Butterflies";4;"F2";0;0
"LEMA";"Butterflies";4;"F2";0;0
"ME";"Butterflies";4;"F2";0;0
"PUPA";"Butterflies";4;"F2";0;0
"RAPE";"Butterflies";4;"F2";0;0
"CHFU";"Bees";7;"F2";0;0
"CHMI";"Bees";7;"F2";0;0
"HOMA";"Bees";7;"F2";0;0
"LEMA";"Bees";7;"F2";0;0
"ME";"Bees";7;"F2";0;0
"PUPA";"Bees";7;"F2";0;1
"RAPE";"Bees";7;"F2";0;0
"CHFU";"Beetles";7;"F2";0;0
"CHMI";"Beetles";7;"F2";0;0
"HOMA";"Beetles";7;"F2";0;0
"LEMA";"Beetles";7;"F2";0;14
"ME";"Beetles";7;"F2";0;0
"PUPA";"Beetles";7;"F2";0;0
"RAPE";"Beetles";7;"F2";0;0
"CHFU";"Flies";7;"F2";2;2
"CHMI";"Flies";7;"F2";0;0
"HOMA";"Flies";7;"F2";0;0
"LEMA";"Flies";7;"F2";1;1
"ME";"Flies";7;"F2";0;0
"PUPA";"Flies";7;"F2";0;1
"RAPE";"Flies";7;"F2";0;0
"CHFU";"Butterflies";7;"F2";0;0
"CHMI";"Butterflies";7;"F2";0;0
"HOMA";"Butterflies";7;"F2";0;0
"LEMA";"Butterflies";7;"F2";0;0
"ME";"Butterflies";7;"F2";0;0
"PUPA";"Butterflies";7;"F2";0;1
"RAPE";"Butterflies";7;"F2";0;0
"CHFU";"Bees";6;"C3";0;0
"CHMI";"Bees";6;"C3";0;0
"HOMA";"Bees";6;"C3";0;0
"LEMA";"Bees";6;"C3";0;1
"ME";"Bees";6;"C3";0;0
"PUPA";"Bees";6;"C3";0;0
"RAPE";"Bees";6;"C3";0;0
"CHFU";"Beetles";6;"C3";0;0
"CHMI";"Beetles";6;"C3";0;0
"HOMA";"Beetles";6;"C3";0;0
"LEMA";"Beetles";6;"C3";1;2
"ME";"Beetles";6;"C3";0;0
"PUPA";"Beetles";6;"C3";0;0
"RAPE";"Beetles";6;"C3";0;0
"CHFU";"Flies";6;"C3";0;5
"CHMI";"Flies";6;"C3";0;0
"HOMA";"Flies";6;"C3";0;0
"LEMA";"Flies";6;"C3";0;3
"ME";"Flies";6;"C3";0;0
"PUPA";"Flies";6;"C3";0;0
"RAPE";"Flies";6;"C3";0;0
"CHFU";"Butterflies";6;"C3";0;0
"CHMI";"Butterflies";6;"C3";0;0
"HOMA";"Butterflies";6;"C3";0;0
"LEMA";"Butterflies";6;"C3";0;0
"ME";"Butterflies";6;"C3";0;0
"PUPA";"Butterflies";6;"C3";0;0
"RAPE";"Butterflies";6;"C3";0;0
"CHFU";"Bees";8;"C3";1;0
"CHMI";"Bees";8;"C3";0;0
"HOMA";"Bees";8;"C3";0;0
"LEMA";"Bees";8;"C3";0;1
"ME";"Bees";8;"C3";0;0
"PUPA";"Bees";8;"C3";0;0
"RAPE";"Bees";8;"C3";0;0
"CHFU";"Beetles";8;"C3";0;0
"CHMI";"Beetles";8;"C3";0;0
"HOMA";"Beetles";8;"C3";0;0
"LEMA";"Beetles";8;"C3";1;11
"ME";"Beetles";8;"C3";0;0
"PUPA";"Beetles";8;"C3";0;0
"RAPE";"Beetles";8;"C3";0;0
"CHFU";"Flies";8;"C3";2;7
"CHMI";"Flies";8;"C3";0;0
"HOMA";"Flies";8;"C3";0;0
"LEMA";"Flies";8;"C3";0;4
"ME";"Flies";8;"C3";0;0
"PUPA";"Flies";8;"C3";1;7
"RAPE";"Flies";8;"C3";0;0
"CHFU";"Butterflies";8;"C3";0;0
"CHMI";"Butterflies";8;"C3";0;0
