"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"visits.flower";"seed.indv";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
5;3;9;"C4";1;"CHFU";7;32;1;25;315,5;289;25;0,04;32;"9_C4_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C5";2;"CHFU";5;121,5;3;26;315,5;290,5;26;0,0769230769230769;364,5;"9_C5_CHFU_Beetle";0;2;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"D2";1;"CHFU";19;57;6;80;317;286;80;0,0125;342;"9_D2_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"D2";1;"CHFU";19;57;6;80;317;286;80;0,0125;342;"9_D2_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"D3";2;"CHFU";35;795;10;100;317;287,5;100;0,02;7950;"9_D3_CHFU_Fly";0;0;0;2;0;"a";2383;2383;"a";2383;397
5;3;9;"D5";1;"CHFU";10;50;2;11;317;290,5;11;0,0909090909090909;100;"9_D5_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"E2";1;"CHFU";4;16;1;50;318,5;286;50;0,02;16;"9_E2_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"E3";3;"CHFU";23;240;12;70;318,5;287,5;70;0,0428571428571429;2880;"9_E3_CHFU_Beetle";0;3;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"E4";3;"CHFU";17;448;8;80;318,5;289;80;0,0375;3584;"9_E4_CHFU_Beetle";0;3;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"E4";1;"CHFU";17;448;8;80;318,5;289;80;0,0125;3584;"9_E4_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"E5";1;"CHFU";13;252;6;40;318,5;290,5;40;0,025;1512;"9_E5_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;5;2;"E2";1;"LEMA";61;1540;14;NA;39,5;28;0;Inf;21560;"2_E2_LEMA_Fly";0;0;0;1;0;"a";1545;1545;"a";1545;2831
5;5;2;"E3";1;"LEMA";46;930;6;NA;39,5;29,5;0;Inf;5580;"2_E3_LEMA_Fly";0;0;0;1;0;"a";1545;1545;"a";1545;2831
5;5;5;"C5";1;"LEMA";6;52;4;NA;125,5;158,5;0;Inf;208;"5_C5_LEMA_Fly";0;0;0;1;0;"a";2657;2657;"a";2657;294
5;5;5;"D2";2;"LEMA";7;58;1;NA;127;154;0;Inf;58;"5_D2_LEMA_Bee";2;0;0;0;0;"a";2657;2657;"a";2657;294
