"Day";"Month";"plot";"subplot";"Group";"vis";"Plant";"individuals";"seed";"fruit";"visits";"flowers";"x_coor2";"y_coor2";"neigh_inter.plot";"neigh_intra.plot";"neigh_intra.3m";"neigh_inter.3m";"neigh_inter.1m";"neigh_intra.1m";"neigh_inter.7.5";"neigh_intra.7.5";"flowers2";"visits.flower";"seed.indv";"unique_id"
1;6;7;"C2";"Beetle";1;"LEMA";28;250;5;1;3;236,5;289;6322;1245;207;1080;177;28;4;2;3;0,333333333333333;1250;"7_C2_LEMA_Beetle"
1;6;7;"C3";"Beetle";1;"LEMA";24;116;2;1;2;236,5;290,5;6322;1245;265;1305;122;24;5;2;2;0,5;232;"7_C3_LEMA_Beetle"
1;6;7;"C4";"Beetle";3;"LEMA";36;116;2;3;3;236,5;292;6322;1245;308;1443;119;36;4;5;3;1;232;"7_C4_LEMA_Beetle"
1;6;7;"C5";"Beetle";1;"LEMA";48;49;1;1;0;236,5;293,5;6322;1245;298;1428;106;48;5;3;0;Inf;49;"7_C5_LEMA_Beetle"
1;6;7;"D5";"Beetle";1;"LEMA";72;174;3;1;1;238;293,5;6322;1245;333;1145;117;72;13;0;1;1;522;"7_D5_LEMA_Beetle"
1;6;7;"E2";"Beetle";6;"LEMA";32;348;6;6;3;239,5;289;6322;1245;164;1248;186;32;7;1;3;2;2088;"7_E2_LEMA_Beetle"
1;6;7;"E4";"Beetle";3;"LEMA";52;174;3;3;0;239,5;292;6322;1245;358;1235;165;52;3;1;0;Inf;522;"7_E4_LEMA_Beetle"
1;6;7;"E5";"Beetle";1;"LEMA";52;116;2;1;0;239,5;293,5;6322;1245;363;1385;177;52;0;4;0;Inf;232;"7_E5_LEMA_Beetle"
1;6;8;"B2";"Beetle";5;"LEMA";40;290;5;5;0;274;270;6812;888;228;1405;184;40;3;2;0;Inf;1450;"8_B2_LEMA_Beetle"
1;6;8;"B3";"Beetle";2;"LEMA";72;192;4;2;0;274;271,5;6812;888;233;1387;113;72;4;0;0;Inf;768;"8_B3_LEMA_Beetle"
1;6;8;"B4";"Beetle";4;"LEMA";31;232;4;4;0;274;273;6812;888;222;1642;172;31;5;0;0;Inf;928;"8_B4_LEMA_Beetle"
